No,Local Hostname,Local Interface,Local Platform,Remote Hostname,Remote Interface,Remote Platform,Capability
42,BMDRC-ACCSVR01-RAK-D07,Gig 1/0/36,,BMDRC-SW-EC-DMZ-RAKC6.bankmayapada.local,Fas 0,WS-C2960X,S I
69,MT2-LT15-04,Gig 1/0/36,,SW-MT2-16-01.bankmayapada.local,Gig 1/0/47,WS-C2960X,S I
25,BMDC-MGMT-A3,Gig 1/0/37,,BMDC-EGSW-DEV-01.bankmayapada.local,Fas 0/20,WS-C3560-,R S I
42,BMDRC-ACCSVR01-RAK-D07,Gig 1/0/37,,BMDRC-ACCSVR-RAKC5.bankmayapada.local,Fas 0,WS-C2960X,S I
48,BMDRC-EXT-INT-RAK-D7,Gig 1/0/37,,EFT-DRC-MAYAPADA,Gig 0/1/0,ISR4321/K,R S I
69,MT2-LT15-04,Gig 1/0/37,,MT2-LT16-02.bankmayapada.local,Gig 1/0/47,WS-C2960S,S I
42,BMDRC-ACCSVR01-RAK-D07,Gig 1/0/38,,BMDRC-ACCSVR04-RAKC6.bankmayapada.local,Fas 0,WS-C2960X,S I
48,BMDRC-EXT-INT-RAK-D7,Gig 1/0/38,,BMDRC-RTRH2H01.bankmayapada.com,Fas 0/1/1,CISCO2951,R S I
69,MT2-LT15-04,Gig 1/0/38,,SW-MT2-16-03.bankmayapada.local,Gig 1/0/47,WS-C2960X,S I
42,BMDRC-ACCSVR01-RAK-D07,Gig 1/0/39,,BMDRC-ACCSVR02-RAK-D06.bankmayapada.loca,Fas 0,WS-C2960X,S I
13,BMDC-DIST-MT1,Gig 1/0/4,,BMDC-ASSW-L1M1-KANAN.bankmayapada.local,Gig 1/0/24,WS-C2960X,S I
25,BMDC-MGMT-A3,Gig 1/0/4,,SW-JTPM.bankmayapada.local,Fas 0,WS-C2960X,S I
30,BMDC-RAK-D1-DEV,Gig 1/0/4,,BMDC-DEV-DMZ-SW-C4.bankmayapada.local,Gig 1/0/28,WS-C2960X,S I
62,CORE-MT2,Gig 1/0/4,,SW-MT2-LT9.bankmayapada.local,Gig 1/0/48,WS-C2960S,S I
78,SW-JTPM,Gig 1/0/4,,BMDC-SW-EXT-OUT.bankmayapada.local,Gig 1/0/19,WS-C2960X,S I
25,BMDC-MGMT-A3,Gig 1/0/40,,BMDC-P2P-02.bankmayapada.local,Gig 0,ISR4431/K,R S I
42,BMDRC-ACCSVR01-RAK-D07,Gig 1/0/40,,BMDRC-RTRWAN01.bankmayapada.local,Gig 0,ISR4431/K,R S I
48,BMDRC-EXT-INT-RAK-D7,Gig 1/0/40,,BMDRC-RTRH2H01.bankmayapada.com,Fas 0/2/0,CISCO2951,R S I
19,BMDC-EC-SW-IB-CP,Gig 1/0/41,,BMDC-SW-MGMT-RAK-B1.bankmayapada.local,Gig 1/0/9,WS-C2960X,S I
39,BMDC-SW-MGMT-RAK-B1,Gig 1/0/42,,BMDC-OTV-01.bankmayapada.local(FXS1943Q3EM),mgmt0,N77-C7706,R S C
39,BMDC-SW-MGMT-RAK-B1,Gig 1/0/42,,BMDC-EDGE-01.bankmayapada.local(FXS1943Q3EM),mgmt0,N77-C7706,R S C
39,BMDC-SW-MGMT-RAK-B1,Gig 1/0/42,,BMDC-CORE-01.bankmayapada.local(FXS1943Q3EM),mgmt0,N77-C7706,R S C
39,BMDC-SW-MGMT-RAK-B1,Gig 1/0/42,,BMDC-NX-01-Admin(FXS1943Q3EM),mgmt0,N77-C7706,R S C
39,BMDC-SW-MGMT-RAK-B1,Gig 1/0/42,,BMDC-AGGSVR-01.bankmayapada.local(FXS1943Q3EM),mgmt0,N77-C7706,R S C
25,BMDC-MGMT-A3,Gig 1/0/43,,BMDC-EC-RTR-IB.bankmayapada.local,Gig 0,ISR4431/K,R S I
42,BMDRC-ACCSVR01-RAK-D07,Gig 1/0/43,,BMDRC-EXT-INT-RAK-D7.bankmayapada.local,Fas 0,WS-C2960X,S I
12,BMDC-DEV-DMZ-SW-C4,Gig 1/0/44,,BMDC-SW-DATACENTER.bankmayapada.local,Gig 1/0/2,WS-C2960S,S I
25,BMDC-MGMT-A3,Gig 1/0/44,,BMDC-EC-RTR-01.bankmayapada.local,Gig 0,ISR4431/K,R S I
86,SW-MT2-IT2,Gig 1/0/44,,MikroTik,bridge/ether2,MikroTik,R
25,BMDC-MGMT-A3,Gig 1/0/45,,MYPD-LINKNET-IB.bankmayapada.local,Gig 0,ISR4321/K,R S I
33,BMDC-SW-DATACENTER,Gig 1/0/45,,BMDC-SW-LT2-NEW.bankmayapada.local,Gig 1/0/46,WS-C2960X,S I
42,BMDRC-ACCSVR01-RAK-D07,Gig 1/0/45,,BMDRC-RTRH2H01.bankmayapada.com,Gig 0/1,CISCO2951,R S I
89,SW-MT2-SVR,Gig 1/0/45,,MT2-DEV-DMZ1.bankmayapada.local,Fas 0,WS-C2960S,S I
17,BMDC-EC-SW-DMZIB-T1,Gig 1/0/46,,BMDC-SW-MGMT-RAK-B1.bankmayapada.local,Gig 1/0/7,WS-C2960X,S I
18,BMDC-EC-SW-DMZIB-T2,Gig 1/0/46,,BMDC-SW-MGMT-RAK-B1.bankmayapada.local,Gig 1/0/8,WS-C2960X,S I
25,BMDC-MGMT-A3,Gig 1/0/46,,BMDC-P2P-01.bankmayapada.local,Gig 0,ISR4431/K,R S I
42,BMDRC-ACCSVR01-RAK-D07,Gig 1/0/46,,BMDRC-EDGE01.bankmayapada.local,Gig 0/0,WS-C3850-,R S I
5,BMDC-ASSW-GFM1-01,Gig 1/0/47,,BMDC-DIST-MT1.bankmayapada.local,Gig 1/0/13,WS-C3850-,R S I
8,BMDC-ASSW-L3M1-01,Gig 1/0/47,,BMDC-DIST-MT1.bankmayapada.local,Gig 1/0/11,WS-C3850-,R S I
11,BMDC-CZ-DMZ-01,Gig 1/0/47,,BMDC-DIST-MT1.bankmayapada.local,Gig 1/0/5,WS-C3850-,R S I
33,BMDC-SW-DATACENTER,Gig 1/0/47,,BMDC-DIST-MT1.bankmayapada.local,Gig 1/0/21,WS-C3850-,R S I
39,BMDC-SW-MGMT-RAK-B1,Gig 1/0/47,,BMDC-DIST-MT1.bankmayapada.local,Gig 1/0/23,WS-C3850-,R S I
40,BMDC-SW-RAK-D1,Gig 1/0/47,,BMDC-AGGSVR-01.bankmayapada.local(FXS1943Q3EM),Eth 1/40,N77-C7706,R S I C
41,BMDRC-ACCSVR-RAKC5,Gig 1/0/47,,BMDRC-AGGRSVR01.bankmayapada.local(JAF1801ARAG),Eth 4/29,N7K-C7009,R S I C
42,BMDRC-ACCSVR01-RAK-D07,Gig 1/0/47,,BMDRC-OTV01.bankmayapada.local(JAF1801ARAG),mgmt0,N7K-C7009,R S C
42,BMDRC-ACCSVR01-RAK-D07,Gig 1/0/47,,BMDRC-AGGRSVR01.bankmayapada.local(JAF1801ARAG),mgmt0,N7K-C7009,R S C
42,BMDRC-ACCSVR01-RAK-D07,Gig 1/0/47,,BMDRC-N7KADM.bankmayapada.local(JAF1801ARAG),mgmt0,N7K-C7009,R S C
42,BMDRC-ACCSVR01-RAK-D07,Gig 1/0/47,,BMDRC-CORE01(JAF1801ARAG),mgmt0,N7K-C7009,R S C
43,BMDRC-ACCSVR02-RAK-D06,Gig 1/0/47,,BMDRC-AGGRSVR01.bankmayapada.local(JAF1801ARAG),Eth 3/27,N7K-C7009,R S I C
44,BMDRC-ACCSVR04-RAKC6,Gig 1/0/47,,BMDRC-AGGRSVR01.bankmayapada.local(JAF1801ARAG),Eth 3/30,N7K-C7009,R S I C
57,CCPL-SW-01,Gig 1/0/47,,CCPL-CORE-SW.bankmayapada.local,Gig 1/0/13,WS-C3850-,R S I
58,CCPL-SW-02,Gig 1/0/47,,CCPL-CORE-SW.bankmayapada.local,Gig 1/0/15,WS-C3850-,R S I
59,CCPL-SW-03,Gig 1/0/47,,CCPL-CORE-SW.bankmayapada.local,Gig 1/0/18,WS-C3850-,R S I
61,CCPL-SW-05,Gig 1/0/47,,CCPL-CORE-SW.bankmayapada.local,Gig 1/0/21,WS-C3850-,R S I
79,SW-MT2-16-01,Gig 1/0/47,,MT2-LT15-04.bankmayapada.local,Gig 1/0/36,WS-C2960X,S I
80,SW-MT2-16-03,Gig 1/0/47,,MT2-LT15-04.bankmayapada.local,Gig 1/0/38,WS-C2960X,S I
81,SW-MT2-21-04,Gig 1/0/47,,CORE-MT2.bankmayapada.local,Gig 1/1/1,WS-C3850-,R S I
83,SW-MT2-AUDIT2,Gig 1/0/47,,SW-MT2-HRD.bankmayapada.local,Gig 1/0/47,WS-C2960S,S I
84,SW-MT2-HRD,Gig 1/0/47,,SW-MT2-AUDIT2.bankmayapada.local,Gig 1/0/47,WS-C2960S,S I
85,SW-MT2-IT1,Gig 1/0/47,,CORE-MT2.bankmayapada.local,Gig 1/0/11,WS-C3850-,R S I
90,SW-RAKC4-15,Gig 1/0/47,,BMDC-AGGSVR-01.bankmayapada.local(FXS1943Q3EM),Eth 1/30,N77-C7706,R S I C
5,BMDC-ASSW-GFM1-01,Gig 1/0/48,,BMDC-DIST-MT1.bankmayapada.local,Gig 1/0/14,WS-C3850-,R S I
8,BMDC-ASSW-L3M1-01,Gig 1/0/48,,BMDC-DIST-MT1.bankmayapada.local,Gig 1/0/12,WS-C3850-,R S I
25,BMDC-MGMT-A3,Gig 1/0/48,,BMDC-DIST-MT1.bankmayapada.local,Gig 1/0/9,WS-C3850-,R S I
33,BMDC-SW-DATACENTER,Gig 1/0/48,,BMDC-DIST-MT1.bankmayapada.local,Gig 1/0/22,WS-C3850-,R S I
39,BMDC-SW-MGMT-RAK-B1,Gig 1/0/48,,BMDC-DIST-MT1.bankmayapada.local,Gig 1/0/24,WS-C3850-,R S I
41,BMDRC-ACCSVR-RAKC5,Gig 1/0/48,,BMDRC-AGGRSVR01.bankmayapada.local(JAF1801ARAG),Eth 3/29,N7K-C7009,R S I C
43,BMDRC-ACCSVR02-RAK-D06,Gig 1/0/48,,BMDRC-AGGRSVR01.bankmayapada.local(JAF1801ARAG),Eth 4/27,N7K-C7009,R S I C
44,BMDRC-ACCSVR04-RAKC6,Gig 1/0/48,,BMDRC-AGGRSVR01.bankmayapada.local(JAF1801ARAG),Eth 4/30,N7K-C7009,R S I C
57,CCPL-SW-01,Gig 1/0/48,,CCPL-CORE-SW.bankmayapada.local,Gig 1/0/14,WS-C3850-,R S I
58,CCPL-SW-02,Gig 1/0/48,,CCPL-CORE-SW.bankmayapada.local,Gig 1/0/16,WS-C3850-,R S I
59,CCPL-SW-03,Gig 1/0/48,,CCPL-CORE-SW.bankmayapada.local,Gig 1/0/17,WS-C3850-,R S I
60,CCPL-SW-04,Gig 1/0/48,,CCPL-CORE-SW.bankmayapada.local,Gig 1/0/19,WS-C3850-,R S I
61,CCPL-SW-05,Gig 1/0/48,,CCPL-CORE-SW.bankmayapada.local,Gig 1/0/22,WS-C3850-,R S I
63,MT2-LT10-SW-01,Gig 1/0/48,,CORE-MT2.bankmayapada.local,Gig 1/0/16,WS-C3850-,R S I
64,MT2-LT10-SW-02,Gig 1/0/48,,CORE-MT2.bankmayapada.local,Gig 1/0/17,WS-C3850-,R S I
65,MT2-LT10-SW-03,Gig 1/0/48,,CORE-MT2.bankmayapada.local,Gig 1/0/18,WS-C3850-,R S I
66,MT2-LT10-SW-04,Gig 1/0/48,,CORE-MT2.bankmayapada.local,Gig 1/0/19,WS-C3850-,R S I
67,MT2-LT10-SW-05,Gig 1/0/48,,CORE-MT2.bankmayapada.local,Gig 1/0/20,WS-C3850-,R S I
68,MT2-LT10-SW-06,Gig 1/0/48,,CORE-MT2.bankmayapada.local,Gig 1/0/22,WS-C3850-,R S I
69,MT2-LT15-04,Gig 1/0/48,,CORE-MT2.bankmayapada.local,Gig 1/0/15,WS-C3850-,R S I
82,SW-MT2-AUDIT1,Gig 1/0/48,,CORE-MT2.bankmayapada.local,Gig 1/1/2,WS-C3850-,R S I
83,SW-MT2-AUDIT2,Gig 1/0/48,,CORE-MT2.bankmayapada.local,Gig 1/1/3,WS-C3850-,R S I
84,SW-MT2-HRD,Gig 1/0/48,,CORE-MT2.bankmayapada.local,Gig 1/1/4,WS-C3850-,R S I
86,SW-MT2-IT2,Gig 1/0/48,,CORE-MT2.bankmayapada.local,Gig 1/0/13,WS-C3850-,R S I
87,SW-MT2-LT9,Gig 1/0/48,,CORE-MT2.bankmayapada.local,Gig 1/0/4,WS-C3850-,R S I
88,SW-MT2-LT9-02,Gig 1/0/48,,CORE-MT2.bankmayapada.local,Gig 1/0/5,WS-C3850-,R S I
89,SW-MT2-SVR,Gig 1/0/48,,CORE-MT2.bankmayapada.local,Gig 1/0/3,WS-C3850-,R S I
90,SW-RAKC4-15,Gig 1/0/48,,BMDC-AGGSVR-02.bankmayapada.local(FXS2136Q11W),Eth 1/28,N77-C7706,R S I C
42,BMDRC-ACCSVR01-RAK-D07,Gig 1/0/49,,BMDRC-AGGRSVR01.bankmayapada.local(JAF1801ARAG),Eth 3/26,N7K-C7009,R S I C
13,BMDC-DIST-MT1,Gig 1/0/5,,BMDC-CZ-DMZ-01.bankmayapada.local,Gig 1/0/47,WS-C2960X,S I
23,BMDC-EGSW-WAN,Gig 1/0/5,Mac,BMDC-P2P-02.bankmayapada.local,Gig 0/0/0,ISR4431/K,R S I
25,BMDC-MGMT-A3,Gig 1/0/5,,MYPD-SGO.bankmayapada.local,Gig 0,ISR4321/K,R S I
30,BMDC-RAK-D1-DEV,Gig 1/0/5,,BMDC-DEV-DMZ-SW-C4.bankmayapada.local,Gig 1/0/29,WS-C2960X,S I
36,BMDC-SW-EXT-OUT,Gig 1/0/5,,MYPD-BH-EXT-DIMO.bankmayapada.local,Gig 0/1/1,ISR4321/K,R S I
62,CORE-MT2,Gig 1/0/5,,SW-MT2-LT9-02.bankmayapada.local,Gig 1/0/48,WS-C2960X,S I
42,BMDRC-ACCSVR01-RAK-D07,Gig 1/0/50,,BMDRC-AGGRSVR01.bankmayapada.local(JAF1801ARAG),Eth 4/26,N7K-C7009,R S I C
23,BMDC-EGSW-WAN,Gig 1/0/6,Mac,BMDC-RTRWAN-03.bankmayapada.local,Gig 0/0/0,ISR4431/K,R S I
25,BMDC-MGMT-A3,Gig 1/0/6,,MYPD-TIFHONE.bankmayapada.local,Gig 0,ISR4321/K,R S I
30,BMDC-RAK-D1-DEV,Gig 1/0/6,,BMDC-DEV-DMZ-SW-C4.bankmayapada.local,Gig 1/0/30,WS-C2960X,S I
33,BMDC-SW-DATACENTER,Gig 1/0/6,,BMDC-RTR-ISP2.bankmayapada.local,Gig 0/3/0,CISCO3945,R S I
39,BMDC-SW-MGMT-RAK-B1,Gig 1/0/6,,SW-RAKC4-15.bankmayapada.local,Fas 0,WS-C2960X,S I
39,BMDC-SW-MGMT-RAK-B1,Gig 1/0/7,,BMDC-EC-SW-DMZIB-T1.bankmayapada.local,Gig 1/0/46,WS-C2960X,S I
47,BMDRC-EDGE01,Gig 1/0/7,,BMDRC-RTRH2H01.bankmayapada.com,Gig 0/0,CISCO2951,R S I
24,BMDC-F5-ISP-OUT,Gig 1/0/8,,BMDC-RTR-ISP2.bankmayapada.local,Gig 0/1,CISCO3945,R S I
25,BMDC-MGMT-A3,Gig 1/0/8,,ISR-IT-BACKUP.bankmayapada.local,Gig 0,ISR4321/K,R S I
39,BMDC-SW-MGMT-RAK-B1,Gig 1/0/8,,BMDC-EC-SW-DMZIB-T2.bankmayapada.local,Gig 1/0/46,WS-C2960X,S I
47,BMDRC-EDGE01,Gig 1/0/8,,BMDRC-RTRH2H01.bankmayapada.com,Gig 0/2,CISCO2951,R S I
78,SW-JTPM,Gig 1/0/8,,BMDC-SW-EXT-OUT.bankmayapada.local,Gig 1/0/20,WS-C2960X,S I
13,BMDC-DIST-MT1,Gig 1/0/9,,BMDC-MGMT-A3.bankmayapada.local,Gig 1/0/48,WS-C2960X,S I
25,BMDC-MGMT-A3,Gig 1/0/9,,MYPD-BI.bankmayapada.local,Fas 0/24,WS-C3560-,R S I
39,BMDC-SW-MGMT-RAK-B1,Gig 1/0/9,,BMDC-EC-SW-IB-CP.bankmayapada.local,Gig 1/0/41,WS-C2960S,S I
62,CORE-MT2,Gig 1/1/1,,SW-MT2-21-04.bankmayapada.local,Gig 1/0/47,WS-C2960X,S I
62,CORE-MT2,Gig 1/1/2,,SW-MT2-AUDIT1.bankmayapada.local,Gig 1/0/48,WS-C2960S,S I
62,CORE-MT2,Gig 1/1/3,,SW-MT2-AUDIT2.bankmayapada.local,Gig 1/0/48,WS-C2960S,S I
62,CORE-MT2,Gig 1/1/4,,SW-MT2-HRD.bankmayapada.local,Gig 1/0/48,WS-C2960S,S I
24,BMDC-F5-ISP-OUT,Gig 2/0/15,,BMDC-F5-ISP-OUT.bankmayapada.local,Gig 1/0/16,WS-C2960X,S I
36,BMDC-SW-EXT-OUT,Gig 2/0/16,,SW-JTPM.bankmayapada.local,Gig 1/0/22,WS-C2960X,S I
24,BMDC-F5-ISP-OUT,Gig 2/0/19,,MYPD-LINKNET-IB.bankmayapada.local,Gig 0/0/1,ISR4321/K,R S I
24,BMDC-F5-ISP-OUT,Gig 2/0/20,,MYPD-LINKNET-IB.bankmayapada.local,Gig 0/2/0,ISR4321/K,R S I
20,BMDC-EGSW-EC-01,Gig 2/0/23,,BMDC-CORE-01.bankmayapada.local(FXS1943Q3EM),Eth 1/8,N77-C7706,R S C
20,BMDC-EGSW-EC-01,Gig 2/0/24,,BMDC-CORE-02.bankmayapada.local(FXS2136Q11W),Eth 1/12,N77-C7706,R S C
24,BMDC-F5-ISP-OUT,Gig 2/0/4,,MikroTik,br-28/ether1==>CRT2001002593,MikroTik,R
24,BMDC-F5-ISP-OUT,Gig 2/0/7,,MAYAPADA-rt,Gig 0/1,CISCO1941,R S I
1,BMDC-ACCSVR-N9K-RAKC1,mgmt0,,BMDC-SW-MGMT-RAK-B1.bankmayapada.local,Gig1/0/17,WS-C2960X-48T,S I
2,BMDC-ACCSVR-N9K-RAKD1,mgmt0,,BMDC-SW-MGMT-RAK-B1.bankmayapada.local,Gig1/0/15,WS-C2960X-48T,S I
3,BMDC-AGGSVR-01,mgmt0,,BMDC-SW-MGMT-RAK-B1.bankmayapada.local,Gig1/0/42,WS-C2960X-48T,S I
4,BMDC-AGGSVR-02,mgmt0,,BMDC-SW-MGMT-RAK-B1.bankmayapada.local,Gig1/0/14,WS-C2960X-48T,S I
9,BMDC-CORE-01,mgmt0,,BMDC-SW-MGMT-RAK-B1.bankmayapada.local,Gig1/0/42,WS-C2960X-48T,S I
10,BMDC-CORE-02,mgmt0,,BMDC-SW-MGMT-RAK-B1.bankmayapada.local,Gig1/0/14,WS-C2960X-48T,S I
26,BMDC-OTV-01,mgmt0,,BMDC-SW-MGMT-RAK-B1.bankmayapada.local,Gig1/0/42,WS-C2960X-48T,S I
27,BMDC-OTV-02,mgmt0,,BMDC-SW-MGMT-RAK-B1.bankmayapada.local,Gig1/0/14,WS-C2960X-48T,S I
45,BMDRC-AGGRSVR01,mgmt0,,BMDRC-ACCSVR01-RAK-D07.bankmayapada.loca,Gig1/0/47,WS-C2960S-48T,S I
46,BMDRC-CORE01,mgmt0,,BMDRC-ACCSVR01-RAK-D07.bankmayapada.loca,Gig1/0/47,WS-C2960S-48T,S I
49,BMDRC-OTV01,mgmt0,,BMDRC-ACCSVR01-RAK-D07.bankmayapada.loca,Gig1/0/47,WS-C2960S-48T,S I
13,BMDC-DIST-MT1,Ten 1/1/3,,BMDC-CORE-01.bankmayapada.local(FXS1943Q3EM),Eth 1/11,N77-C7706,R S C
13,BMDC-DIST-MT1,Ten 1/1/4,,BMDC-CORE-02.bankmayapada.local(FXS2136Q11W),Eth 1/16,N77-C7706,R S C
